Cara,Tipo de cara,Nombre de campaña,Cliente,Operación,Código de contrato (opcional),Monto total,APS Global,CUIC,Articulo,Ejecutivo de Ventas,Descripción (opcional),Periodo,Segmentos,Versión,Ciudad
MD1331,Contraflujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1332,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1332,Contraflujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,CORTESIA,Mérida
MD1333,Flujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,CORTESIA,Mérida
MD1333,Contraflujo,DIAMOND FILMS EL DRAMA,DIAMOND FILMS,RENTA,1744,"$3,816",1465,9848,RT-P1-COB-MR,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,EL DRAMA,Mérida
MD1334,Flujo,DIAMOND FILMS EL DRAMA,DIAMOND FILMS,RENTA,1744,"$3,816",1465,9848,RT-P1-COB-MR,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #7,EL DRAMA,Mérida
MD1334,Contraflujo,STIHL 100 AÑOS,STIHL,RENTA,55227,"$2,400",70691,11387,RT-P1-COB-MR,ALEJANDRO HERRERA,,Catorcenas 2026,Catorcena #7,STIHL 100 AÑOS,Mérida
MD1335,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1335,Contraflujo,MEXICO VS MEXICO,COCA COLA,RENTA,55382,"$2,450",70905,9858,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,MÉXICO VS MÉXICO,Mérida
MD1337,Flujo,DISEÑA TU CIUDAD,"MUNICIPIO DE MERIDA, YUCATÁN",CORTESIA,55418,$0,70919,10278,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,DISEÑA TU CIUDAD,Mérida
MD1337,Contraflujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1338,Flujo,NUTRIRINDES,CARNATION,RENTA,55266,"$2,500",70747,10714,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,NUTRIRINDES,Mérida
