Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad, ,Ciudad,Tipo de Distribución,Reproducciones
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,3073,Contraflujo,Ciudad de México,RENTA,
SABA,SABA,RENTA,1102,"$4,200",1300,11432,RT-P1-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #2,SABA ULTRAINVISIBLE,,,,3074,Flujo,Ciudad de México,RENTA,
HERO 25,BATISTE,RENTA,53855,"$4,293",70298,11268,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,GENERICO,,,,3074,Contraflujo,Ciudad de México,RENTA,
METROP PARALELO (SIN VISIBILIDAD),CORTESIA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,METROP PARALELO (SIN VISIBILIDAD),,,,3075,Flujo,Ciudad de México,RENTA,
METROP PARALELO (SIN VISIBILIDAD),CORTESIA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,METROP PARALELO (SIN VISIBILIDAD),,,,3075,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3081,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3081,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3083,Flujo,Ciudad de México,RENTA,
APOSTARIAS POR MI,VIX,RENTA,1038,"$3,608",1249,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,APOSTARÍAS POR MI HOMBRE BOGOTE Y MUJER COLOR,,,,3083,Contraflujo,Ciudad de México,RENTA,
PROPOSITOS,SANBORNS,RENTA,1148,"$3,587",1310,11231,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PROPOSITOS,,,,3084,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3084,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3085,Flujo,Ciudad de México,RENTA,
PROPOSITOS,SANBORNS,RENTA,1148,"$3,587",1310,11231,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PROPOSITOS,,,,3085,Contraflujo,Ciudad de México,RENTA,
BBVA SEGURO DE AUTO,BBVA,RENTA,54084,"$2,742",70535,9058,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,LA AYUDA ESTA A UN CLIC,,,,3086,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3086,Contraflujo,Ciudad de México,RENTA,
HERO 25,BATISTE,RENTA,53855,"$4,293",70298,11268,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,GENERICO,,,,3087,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,BRANDING PRE AT&T,,,,3087,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3088,Flujo,Ciudad de México,RENTA,
L'ORÉAL / MAYBELLINE - COLOSSAL BUBBLE,MAYBELLINE,RENTA,54109,"$3,400",70551,5177,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,MASCARA,,,,3088,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,3089,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3089,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,3092,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3092,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3093,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3093,Contraflujo,Ciudad de México,RENTA,
IHOP LOS FAVORITOS,IHOP,RENTA,54098,"$3,669",70545,11496,RT-P1-COB-MX,DULCE BALTIERRA,,Catorcenas 2026,Catorcena #2,LOS FAVORITOS HAMBURGUESA,,,,3094,Flujo,Ciudad de México,RENTA,
TEMPORADA DE REBAJAS 2,SEARS,RENTA,1248,"$3,587",1341,11784,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,BT,,,,3094,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3101,Flujo,Ciudad de México,RENTA,
"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1237,"$5,406",1269,11734,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PINES,,,,3101,Contraflujo,Ciudad de México,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$3,575",70444,11262,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,3102,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3102,Contraflujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,BRANDING PRE AT&T,,,,3105,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3105,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3112,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3112,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3113,Flujo,Ciudad de México,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54082,"$3,816",70514,9848,RT-P1-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,3113,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3114,Flujo,Ciudad de México,RENTA,
PROPOSITOS,SANBORNS,RENTA,1148,"$3,587",1310,11231,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PROPOSITOS,,,,3114,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3115,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3115,Contraflujo,Ciudad de México,RENTA,
NUTRI,NUTRI DELI,RENTA,54100,"$3,413",70416,11512,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,NIÑA  FÓRMULA,,,,3116,Contraflujo,Ciudad de México,RENTA,
PROPOSITOS,SANBORNS,RENTA,1148,"$3,587",1310,11231,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PROPOSITOS,,,,3120,Flujo,Ciudad de México,RENTA,
APOSTARIAS POR MI,VIX,RENTA,1038,"$3,608",1249,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,APOSTARÍAS POR MI HOMBRE BOGOTE Y MUJER COLOR,,,,3120,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,3121,Flujo,Ciudad de México,RENTA,
TEMPORADA DE REBAJAS 2,SEARS,RENTA,1248,"$3,587",1341,11784,RT-P1-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,MODA,,,,3121,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,3123,Flujo,Ciudad de México,RENTA,
BRIDGERTON,NETFLIX,RENTA,54028,"$4,000",70472,9862,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,3123,Contraflujo,Ciudad de México,RENTA,
BRIDGERTON,NETFLIX,RENTA,54028,"$4,000",70472,9862,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,3124,Contraflujo,Ciudad de México,RENTA,
