Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad, ,Ciudad,Tipo de Distribución,Reproducciones
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,23022,Flujo,Monterrey,RENTA,
JUGADORES ANONIMOS,CORTESIA,CORTESIA,54046,$0,70496,10867,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,JUGADORES ANONIMOS,,,,23022,Contraflujo ,Monterrey,RENTA,
COLECTA ANUAL 2026,SEMINARIO DE MONTERREY,CORTESIA,54043,$0,70475,9458,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,COLECTA ANUAL 2026,,,,23024,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,23024,Contraflujo ,Monterrey,RENTA,
TEMPORADA DE REBAJAS 2,SEARS,RENTA,1248,"$2,426",1341,11784,RT-P1-COB-MY,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,MODA,,,,23025,Flujo,Monterrey,RENTA,
COLECTA ANUAL 2026,SEMINARIO DE MONTERREY,CORTESIA,54043,$0,70475,9458,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,COLECTA ANUAL 2026,,,,23025,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,23027,Flujo,Monterrey,RENTA,
DIFUSION BOLSA DE TRABAJO IMU,GRUPO IMU,CORTESIA,54009,$0,70509,11749,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,DIFUSION BOLSA DE TRABAJO,,,,23027,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,23029,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,23029,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,23030,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,23030,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,23031,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,23031,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,24001,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,24002,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,24004,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,24005,Flujo,Monterrey,RENTA,
DIFUSION BOLSA DE TRABAJO IMU,GRUPO IMU,CORTESIA,54009,$0,70509,11749,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,DIFUSION BOLSA DE TRABAJO,,,,24006,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,24007,Flujo,Monterrey,RENTA,
DIFUSION BOLSA DE TRABAJO IMU,GRUPO IMU,CORTESIA,54009,$0,70509,11749,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,DIFUSION BOLSA DE TRABAJO,,,,24009,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31001,Flujo,Monterrey,RENTA,
TEMPORADA DE REBAJAS 2,SEARS,RENTA,1248,"$2,426",1341,11784,RT-P1-COB-MY,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,BT,,,,31001,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31002,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31002,Contraflujo ,Monterrey,RENTA,
UBER PRICE LOCK,UBER CORE,RENTA,54114,"$4,400",70547,11585,RT-P1-COB-MY,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,AHORRA EN LOS VIAJES,,,,31003,Flujo,Monterrey,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$2,379",70444,11262,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,31003,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31004,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31004,Contraflujo ,Monterrey,RENTA,
TEMPORADA DE REBAJAS 2,SEARS,RENTA,1248,"$2,426",1341,11784,RT-P1-COB-MY,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,Basel saco rojo,,,,31005,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31005,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31006,Flujo,Monterrey,RENTA,
TABCIN,ASPIRINA,RENTA,54132,"$4,500",70560,8730,RT-P1-COB-MY,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TABCIN NOCHE,,,,31006,Contraflujo ,Monterrey,RENTA,
SABA,SABA,RENTA,1102,"$3,825",1300,11432,RT-P1-COB-MY,SARA PICHARDO,,Catorcenas 2026,Catorcena #2,SABA ULTRAINVISIBLE,,,,31007,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31007,Contraflujo ,Monterrey,RENTA,
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54077,"$3,355",70523,1934,RT-P1-COB-MY,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,CUMBRES BORRASCOSAS,,,,31009,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31009,Contraflujo ,Monterrey,RENTA,
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54077,"$3,355",70523,1934,RT-P1-COB-MY,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,CUMBRES BORRASCOSAS,,,,31010,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31010,Contraflujo ,Monterrey,RENTA,
NARCOTICOS ANONIMOS,CORTESIA,CORTESIA,54047,$0,70497,10867,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,NARCOTICOS ANONIMOS,,,,31011,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31011,Contraflujo ,Monterrey,RENTA,
JUGADORES ANONIMOS,CORTESIA,CORTESIA,54046,$0,70496,10867,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,JUGADORES ANONIMOS,,,,31014,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31014,Contraflujo ,Monterrey,RENTA,
JUGADORES ANONIMOS,CORTESIA,CORTESIA,54046,$0,70496,10867,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,JUGADORES ANONIMOS,,,,31015,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31015,Contraflujo ,Monterrey,RENTA,
COLECTA ANUAL 2026,SEMINARIO DE MONTERREY,CORTESIA,54043,$0,70475,9458,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,COLECTA ANUAL 2026,,,,31016,Flujo,Monterrey,RENTA,
JUGADORES ANONIMOS,CORTESIA,CORTESIA,54046,$0,70496,10867,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,JUGADORES ANONIMOS,,,,31016,Contraflujo ,Monterrey,RENTA,
JUGADORES ANONIMOS,CORTESIA,CORTESIA,54046,$0,70496,10867,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,JUGADORES ANONIMOS,,,,31017,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31017,Contraflujo ,Monterrey,RENTA,
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54077,"$3,355",70523,1934,RT-P1-COB-MY,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,CUMBRES BORRASCOSAS,,,,31018,Flujo,Monterrey,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$2,379",70444,11262,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,31018,Contraflujo ,Monterrey,RENTA,
TENA,TENA,RENTA,1072,"$4,200",1278,11431,RT-P1-COB-MY,SARA PICHARDO,,Catorcenas 2026,Catorcena #2,TENA CHICA,,,,31019,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31019,Contraflujo ,Monterrey,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,Plan Mi Selección,,,,31020,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31020,Contraflujo ,Monterrey,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,Branding Pre,,,,31022,Flujo,Monterrey,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54083,$0,70514,9848,RT-P1-COB-MY,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,31022,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31024,Flujo,Monterrey,RENTA,
NARCOTICOS ANONIMOS,CORTESIA,CORTESIA,54047,$0,70497,10867,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,NARCOTICOS ANONIMOS,,,,31024,Contraflujo ,Monterrey,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54083,$0,70514,9848,RT-P1-COB-MY,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,31025,Flujo,Monterrey,RENTA,
SMART FIT CDMX 26,SMART FIT,RENTA,54178,"$4,900",70548,9653,RT-P1-COB-MY,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2, HOMBRE PRETEXTOS ,,,,31025,Contraflujo ,Monterrey,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$2,379",70444,11262,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,31026,Flujo,Monterrey,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54083,$0,70514,9848,RT-P1-COB-MY,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,31026,Contraflujo ,Monterrey,RENTA,
TENA,TENA,RENTA,1072,"$4,200",1278,11431,RT-P1-COB-MY,SARA PICHARDO,,Catorcenas 2026,Catorcena #2,TENA PAQUETE,,,,31027,Flujo,Monterrey,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54083,$0,70514,9848,RT-P1-COB-MY,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,31027,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31028,Flujo,Monterrey,RENTA,
COLECTA ANUAL 2026,SEMINARIO DE MONTERREY,CORTESIA,54043,$0,70475,9458,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,COLECTA ANUAL 2026,,,,31028,Contraflujo ,Monterrey,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,Plan Mi Selección,,,,31029,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31029,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31030,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31030,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31031,Flujo,Monterrey,RENTA,
UBER PRICE LOCK,UBER CORE,RENTA,54114,"$4,400",70547,11585,RT-P1-COB-MY,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,BLOQUEA EL PRECIO,,,,31031,Contraflujo ,Monterrey,RENTA,
FARMACIAS SIMILARES Planta fija 2026,FARMACIAS SIMILARES,RENTA,54326,"$3,500",70508,1559,RT-P1-COB-MY,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,ALIVIATE ,,,,31032,Flujo,Monterrey,RENTA,
COLECTA ANUAL 2026,SEMINARIO DE MONTERREY,CORTESIA,54043,$0,70475,9458,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,COLECTA ANUAL 2026,,,,31032,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31033,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31033,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31034,Flujo,Monterrey,RENTA,
NARCOTICOS ANONIMOS,CORTESIA,CORTESIA,54047,$0,70497,10867,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,NARCOTICOS ANONIMOS,,,,31034,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31035,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31035,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31036,Flujo,Monterrey,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$2,379",70444,11262,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,31036,Contraflujo ,Monterrey,RENTA,
TABCIN,ASPIRINA,RENTA,54132,"$4,500",70560,8730,RT-P1-COB-MY,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TABCIN DIA,,,,31037,Flujo,Monterrey,RENTA,
MERCADO PAGO,MERCADO LIBRE,RENTA,54159,"$4,200",10757,10757,RT-P1-COB-MY,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,PAGA A MESES,,,,31037,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31038,Contraflujo ,Monterrey,RENTA,
TABCIN,ASPIRINA,RENTA,54132,"$4,500",70560,8730,RT-P1-COB-MY,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TABCIN NOCHE,,,,31038,Flujo,Monterrey,RENTA,
MERCADO PAGO,MERCADO LIBRE,RENTA,54159,"$4,200",10757,10757,RT-P1-COB-MY,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,PAGA A MESES,,,,31039,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31039,Contraflujo ,Monterrey,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,Branding Pre,,,,31040,Flujo,Monterrey,RENTA,
UBER PRICE LOCK,UBER CORE,RENTA,54114,"$4,400",70547,11585,RT-P1-COB-MY,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,SI EL DESTINO ES SIEMPRE EL MISMO,,,,31040,Contraflujo ,Monterrey,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$2,379",70444,11262,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,31041,Flujo,Monterrey,RENTA,
TABCIN,ASPIRINA,RENTA,54132,"$4,500",70560,8730,RT-P1-COB-MY,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TABCIN NOCHE,,,,31041,Contraflujo ,Monterrey,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54083,$0,70514,9848,RT-P1-COB-MY,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,31042,Flujo,Monterrey,RENTA,
UBER PRICE LOCK,UBER CORE,RENTA,54115,$0,70547,11585,RT-P1-COB-MY,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,AHORRA EN LOS VIAJES,,,,31042,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31043,Flujo,Monterrey,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$2,379",70444,11262,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,31043,Contraflujo ,Monterrey,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,IPHONE 17,,,,31044,Flujo,Monterrey,RENTA,
COLECTA ANUAL 2026,SEMINARIO DE MONTERREY,CORTESIA,54043,$0,70475,9458,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,COLECTA ANUAL 2026,,,,31044,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31045,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31045,Contraflujo ,Monterrey,RENTA,
MULTIMARCAS WALMART,ARIEL,RENTA,54050,"$2,379",70444,11262,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,GENERICO,,,,31046,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31046,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31047,Flujo,Monterrey,RENTA,
COLECTA ANUAL 2026,SEMINARIO DE MONTERREY,CORTESIA,54043,$0,70475,9458,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,COLECTA ANUAL 2026,,,,31047,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31048,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31048,Contraflujo ,Monterrey,RENTA,
COLECTA ANUAL 2026,SEMINARIO DE MONTERREY,CORTESIA,54043,$0,70475,9458,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,COLECTA ANUAL 2026,,,,31049,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31049,Contraflujo ,Monterrey,RENTA,
JUGADORES ANONIMOS,CORTESIA,CORTESIA,54046,$0,70496,10867,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,JUGADORES ANONIMOS,,,,31051,Flujo,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31051,Contraflujo ,Monterrey,RENTA,
CORTESIA GEN,CORTESIA GEN,CORTESIA,0,$0,0,0,CT-P1-COB-MY,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,CORTESIA GEN,,,,31052,Flujo,Monterrey,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-P1-COB-MY,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,Plan Mi Selección,,,,31052,Contraflujo ,Monterrey,RENTA,
COLECTA ANUAL 2026,SEMINARIO DE MONTERREY,CORTESIA,54043,$0,70475,9458,CT-P1-COB-MY,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,COLECTA ANUAL 2026,,,,31055,Flujo,Monterrey,RENTA,
FARMACIAS SIMILARES Planta fija 2026,FARMACIAS SIMILARES,RENTA,54326,"$3,500",70508,1559,RT-P1-COB-MY,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,ALIVIATE ,,,,31055,Contraflujo ,Monterrey,RENTA,
